"ResourceType","Namespace","Type"
"Microsoft.Network/expressRoutePorts","Microsoft.Network","expressRoutePorts"
"Microsoft.Network/securityPartnerProviders","Microsoft.Network","securityPartnerProviders"
"Microsoft.Network/azureFirewalls","Microsoft.Network","azureFirewalls"
"Microsoft.Network/azureFirewallFqdnTags","Microsoft.Network","azureFirewallFqdnTags"
"Microsoft.Network/applicationGatewayWebApplicationFirewallPolicies","Microsoft.Network","applicationGatewayWebApplicationFirewallPolicies"
"Microsoft.Network/locations/ApplicationGatewayWafDynamicManifests","Microsoft.Network","locations/ApplicationGatewayWafDynamicManifests"
"Microsoft.Network/virtualWans","Microsoft.Network","virtualWans"
"Microsoft.Network/bastionHosts","Microsoft.Network","bastionHosts"
"Microsoft.Network/queryExpressRoutePortsBandwidth","Microsoft.Network","queryExpressRoutePortsBandwidth"
"Microsoft.Network/trafficmanagerprofiles","Microsoft.Network","trafficmanagerprofiles"
"Microsoft.Network/trafficmanagerprofiles/heatMaps","Microsoft.Network","trafficmanagerprofiles/heatMaps"
"Microsoft.Network/trafficmanagerprofiles/azureendpoints","Microsoft.Network","trafficmanagerprofiles/azureendpoints"
"Microsoft.Network/trafficmanagerprofiles/externalendpoints","Microsoft.Network","trafficmanagerprofiles/externalendpoints"
"Microsoft.Network/trafficmanagerprofiles/nestedendpoints","Microsoft.Network","trafficmanagerprofiles/nestedendpoints"
"Microsoft.Network/checkTrafficManagerNameAvailability","Microsoft.Network","checkTrafficManagerNameAvailability"
"Microsoft.Network/checkTrafficManagerNameAvailabilityV2","Microsoft.Network","checkTrafficManagerNameAvailabilityV2"
"Microsoft.Network/trafficManagerUserMetricsKeys","Microsoft.Network","trafficManagerUserMetricsKeys"
"Microsoft.Network/trafficManagerGeographicHierarchies","Microsoft.Network","trafficManagerGeographicHierarchies"
"Microsoft.Network/expressRouteProviderPorts","Microsoft.Network","expressRouteProviderPorts"
"Microsoft.Network/locations/hybridEdgeZone","Microsoft.Network","locations/hybridEdgeZone"
"Microsoft.Network/firewallPolicies","Microsoft.Network","firewallPolicies"
"Microsoft.Network/ipGroups","Microsoft.Network","ipGroups"
"Microsoft.Network/azureWebCategories","Microsoft.Network","azureWebCategories"
"Microsoft.Network/locations/nfvOperations","Microsoft.Network","locations/nfvOperations"
"Microsoft.Network/locations/nfvOperationResults","Microsoft.Network","locations/nfvOperationResults"
"Microsoft.Network/virtualRouters","Microsoft.Network","virtualRouters"
"Microsoft.Network/networkVirtualAppliances","Microsoft.Network","networkVirtualAppliances"
"Microsoft.Network/networkVirtualApplianceSkus","Microsoft.Network","networkVirtualApplianceSkus"
"Microsoft.Network/dnsResolvers","Microsoft.Network","dnsResolvers"
"Microsoft.Network/dnsResolvers/inboundEndpoints","Microsoft.Network","dnsResolvers/inboundEndpoints"
"Microsoft.Network/dnsResolvers/outboundEndpoints","Microsoft.Network","dnsResolvers/outboundEndpoints"
"Microsoft.Network/dnsForwardingRulesets","Microsoft.Network","dnsForwardingRulesets"
"Microsoft.Network/dnsForwardingRulesets/forwardingRules","Microsoft.Network","dnsForwardingRulesets/forwardingRules"
"Microsoft.Network/dnsForwardingRulesets/virtualNetworkLinks","Microsoft.Network","dnsForwardingRulesets/virtualNetworkLinks"
"Microsoft.Network/virtualNetworks/listDnsResolvers","Microsoft.Network","virtualNetworks/listDnsResolvers"
"Microsoft.Network/virtualNetworks/listDnsForwardingRulesets","Microsoft.Network","virtualNetworks/listDnsForwardingRulesets"
"Microsoft.Network/locations/dnsResolverOperationResults","Microsoft.Network","locations/dnsResolverOperationResults"
"Microsoft.Network/locations/dnsResolverOperationStatuses","Microsoft.Network","locations/dnsResolverOperationStatuses"
"Microsoft.Network/locations/dnsResolverPolicyOperationResults","Microsoft.Network","locations/dnsResolverPolicyOperationResults"
"Microsoft.Network/locations/dnsResolverPolicyOperationStatuses","Microsoft.Network","locations/dnsResolverPolicyOperationStatuses"
"Microsoft.Network/frontdoorOperationResults","Microsoft.Network","frontdoorOperationResults"
"Microsoft.Network/checkFrontdoorNameAvailability","Microsoft.Network","checkFrontdoorNameAvailability"
"Microsoft.Network/frontdoors","Microsoft.Network","frontdoors"
"Microsoft.Network/frontdoors/frontendEndpoints","Microsoft.Network","frontdoors/frontendEndpoints"
"Microsoft.Network/frontdoors/frontendEndpoints/customHttpsConfiguration","Microsoft.Network","frontdoors/frontendEndpoints/customHttpsConfiguration"
"Microsoft.Network/frontdoorWebApplicationFirewallPolicies","Microsoft.Network","frontdoorWebApplicationFirewallPolicies"
"Microsoft.Network/frontdoorWebApplicationFirewallManagedRuleSets","Microsoft.Network","frontdoorWebApplicationFirewallManagedRuleSets"
"Microsoft.Network/networkExperimentProfiles","Microsoft.Network","networkExperimentProfiles"
"Microsoft.Network/networkManagers","Microsoft.Network","networkManagers"
"Microsoft.Network/networkManagerConnections","Microsoft.Network","networkManagerConnections"
"Microsoft.Network/networkSecurityPerimeters","Microsoft.Network","networkSecurityPerimeters"
"Microsoft.Network/locations/perimeterAssociableResourceTypes","Microsoft.Network","locations/perimeterAssociableResourceTypes"
"Microsoft.Network/locations/queryNetworkSecurityPerimeter","Microsoft.Network","locations/queryNetworkSecurityPerimeter"
"Microsoft.Network/virtualNetworks/listNetworkManagerEffectiveConnectivityConfigurations","Microsoft.Network","virtualNetworks/listNetworkManagerEffectiveConnectivityConfigurations"
"Microsoft.Network/virtualNetworks/listNetworkManagerEffectiveSecurityAdminRules","Microsoft.Network","virtualNetworks/listNetworkManagerEffectiveSecurityAdminRules"
"Microsoft.Network/networkGroupMemberships","Microsoft.Network","networkGroupMemberships"
"Microsoft.Network/locations/commitInternalAzureNetworkManagerConfiguration","Microsoft.Network","locations/commitInternalAzureNetworkManagerConfiguration"
"Microsoft.Network/locations/internalAzureVirtualNetworkManagerOperation","Microsoft.Network","locations/internalAzureVirtualNetworkManagerOperation"
"Microsoft.Network/privateDnsZones","Microsoft.Network","privateDnsZones"
"Microsoft.Network/privateDnsZones/virtualNetworkLinks","Microsoft.Network","privateDnsZones/virtualNetworkLinks"
"Microsoft.Network/privateDnsOperationResults","Microsoft.Network","privateDnsOperationResults"
"Microsoft.Network/privateDnsOperationStatuses","Microsoft.Network","privateDnsOperationStatuses"
"Microsoft.Network/privateDnsZonesInternal","Microsoft.Network","privateDnsZonesInternal"
"Microsoft.Network/privateDnsZones/A","Microsoft.Network","privateDnsZones/A"
"Microsoft.Network/privateDnsZones/AAAA","Microsoft.Network","privateDnsZones/AAAA"
"Microsoft.Network/privateDnsZones/CNAME","Microsoft.Network","privateDnsZones/CNAME"
"Microsoft.Network/privateDnsZones/PTR","Microsoft.Network","privateDnsZones/PTR"
"Microsoft.Network/privateDnsZones/MX","Microsoft.Network","privateDnsZones/MX"
"Microsoft.Network/privateDnsZones/TXT","Microsoft.Network","privateDnsZones/TXT"
"Microsoft.Network/privateDnsZones/SRV","Microsoft.Network","privateDnsZones/SRV"
"Microsoft.Network/privateDnsZones/SOA","Microsoft.Network","privateDnsZones/SOA"
"Microsoft.Network/privateDnsZones/all","Microsoft.Network","privateDnsZones/all"
"Microsoft.Network/virtualNetworks/privateDnsZoneLinks","Microsoft.Network","virtualNetworks/privateDnsZoneLinks"
"Microsoft.Network/dnszones","Microsoft.Network","dnszones"
"Microsoft.Network/dnsOperationResults","Microsoft.Network","dnsOperationResults"
"Microsoft.Network/dnsOperationStatuses","Microsoft.Network","dnsOperationStatuses"
"Microsoft.Network/getDnsResourceReference","Microsoft.Network","getDnsResourceReference"
"Microsoft.Network/internalNotify","Microsoft.Network","internalNotify"
"Microsoft.Network/dnszones/A","Microsoft.Network","dnszones/A"
"Microsoft.Network/dnszones/AAAA","Microsoft.Network","dnszones/AAAA"
"Microsoft.Network/dnszones/CNAME","Microsoft.Network","dnszones/CNAME"
"Microsoft.Network/dnszones/PTR","Microsoft.Network","dnszones/PTR"
"Microsoft.Network/dnszones/MX","Microsoft.Network","dnszones/MX"
"Microsoft.Network/dnszones/TXT","Microsoft.Network","dnszones/TXT"
"Microsoft.Network/dnszones/SRV","Microsoft.Network","dnszones/SRV"
"Microsoft.Network/dnszones/SOA","Microsoft.Network","dnszones/SOA"
"Microsoft.Network/dnszones/NS","Microsoft.Network","dnszones/NS"
"Microsoft.Network/dnszones/CAA","Microsoft.Network","dnszones/CAA"
"Microsoft.Network/dnszones/DS","Microsoft.Network","dnszones/DS"
"Microsoft.Network/dnszones/TLSA","Microsoft.Network","dnszones/TLSA"
"Microsoft.Network/dnszones/NAPTR","Microsoft.Network","dnszones/NAPTR"
"Microsoft.Network/dnszones/recordsets","Microsoft.Network","dnszones/recordsets"
"Microsoft.Network/dnszones/all","Microsoft.Network","dnszones/all"
"Microsoft.Network/dnszones/dnssecConfigs","Microsoft.Network","dnszones/dnssecConfigs"
"Microsoft.Network/virtualNetworks","Microsoft.Network","virtualNetworks"
"Microsoft.Network/virtualNetworks/taggedTrafficConsumers","Microsoft.Network","virtualNetworks/taggedTrafficConsumers"
"Microsoft.Network/natGateways","Microsoft.Network","natGateways"
"Microsoft.Network/publicIPAddresses","Microsoft.Network","publicIPAddresses"
"Microsoft.Network/internalPublicIpAddresses","Microsoft.Network","internalPublicIpAddresses"
"Microsoft.Network/customIpPrefixes","Microsoft.Network","customIpPrefixes"
"Microsoft.Network/networkInterfaces","Microsoft.Network","networkInterfaces"
"Microsoft.Network/dscpConfigurations","Microsoft.Network","dscpConfigurations"
"Microsoft.Network/privateEndpoints","Microsoft.Network","privateEndpoints"
"Microsoft.Network/privateEndpoints/privateLinkServiceProxies","Microsoft.Network","privateEndpoints/privateLinkServiceProxies"
"Microsoft.Network/privateEndpointRedirectMaps","Microsoft.Network","privateEndpointRedirectMaps"
"Microsoft.Network/loadBalancers","Microsoft.Network","loadBalancers"
"Microsoft.Network/networkSecurityGroups","Microsoft.Network","networkSecurityGroups"
"Microsoft.Network/applicationSecurityGroups","Microsoft.Network","applicationSecurityGroups"
"Microsoft.Network/serviceEndpointPolicies","Microsoft.Network","serviceEndpointPolicies"
"Microsoft.Network/networkIntentPolicies","Microsoft.Network","networkIntentPolicies"
"Microsoft.Network/routeTables","Microsoft.Network","routeTables"
"Microsoft.Network/publicIPPrefixes","Microsoft.Network","publicIPPrefixes"
"Microsoft.Network/networkWatchers","Microsoft.Network","networkWatchers"
"Microsoft.Network/networkWatchers/connectionMonitors","Microsoft.Network","networkWatchers/connectionMonitors"
"Microsoft.Network/networkWatchers/flowLogs","Microsoft.Network","networkWatchers/flowLogs"
"Microsoft.Network/networkWatchers/pingMeshes","Microsoft.Network","networkWatchers/pingMeshes"
"Microsoft.Network/locations","Microsoft.Network","locations"
"Microsoft.Network/locations/operations","Microsoft.Network","locations/operations"
"Microsoft.Network/locations/operationResults","Microsoft.Network","locations/operationResults"
"Microsoft.Network/locations/CheckDnsNameAvailability","Microsoft.Network","locations/CheckDnsNameAvailability"
"Microsoft.Network/locations/setLoadBalancerFrontendPublicIpAddresses","Microsoft.Network","locations/setLoadBalancerFrontendPublicIpAddresses"
"Microsoft.Network/cloudServiceSlots","Microsoft.Network","cloudServiceSlots"
"Microsoft.Network/locations/usages","Microsoft.Network","locations/usages"
"Microsoft.Network/locations/virtualNetworkAvailableEndpointServices","Microsoft.Network","locations/virtualNetworkAvailableEndpointServices"
"Microsoft.Network/locations/availableDelegations","Microsoft.Network","locations/availableDelegations"
"Microsoft.Network/locations/serviceTags","Microsoft.Network","locations/serviceTags"
"Microsoft.Network/locations/availablePrivateEndpointTypes","Microsoft.Network","locations/availablePrivateEndpointTypes"
"Microsoft.Network/locations/availableServiceAliases","Microsoft.Network","locations/availableServiceAliases"
"Microsoft.Network/locations/checkPrivateLinkServiceVisibility","Microsoft.Network","locations/checkPrivateLinkServiceVisibility"
"Microsoft.Network/locations/autoApprovedPrivateLinkServices","Microsoft.Network","locations/autoApprovedPrivateLinkServices"
"Microsoft.Network/locations/batchValidatePrivateEndpointsForResourceMove","Microsoft.Network","locations/batchValidatePrivateEndpointsForResourceMove"
"Microsoft.Network/locations/batchNotifyPrivateEndpointsForResourceMove","Microsoft.Network","locations/batchNotifyPrivateEndpointsForResourceMove"
"Microsoft.Network/locations/supportedVirtualMachineSizes","Microsoft.Network","locations/supportedVirtualMachineSizes"
"Microsoft.Network/locations/setAzureNetworkManagerConfiguration","Microsoft.Network","locations/setAzureNetworkManagerConfiguration"
"Microsoft.Network/locations/publishResources","Microsoft.Network","locations/publishResources"
"Microsoft.Network/locations/getAzureNetworkManagerConfiguration","Microsoft.Network","locations/getAzureNetworkManagerConfiguration"
"Microsoft.Network/locations/checkAcceleratedNetworkingSupport","Microsoft.Network","locations/checkAcceleratedNetworkingSupport"
"Microsoft.Network/locations/validateResourceOwnership","Microsoft.Network","locations/validateResourceOwnership"
"Microsoft.Network/locations/setResourceOwnership","Microsoft.Network","locations/setResourceOwnership"
"Microsoft.Network/locations/effectiveResourceOwnership","Microsoft.Network","locations/effectiveResourceOwnership"
"Microsoft.Network/operations","Microsoft.Network","operations"
"Microsoft.Network/virtualNetworkTaps","Microsoft.Network","virtualNetworkTaps"
"Microsoft.Network/privateLinkServices","Microsoft.Network","privateLinkServices"
"Microsoft.Network/locations/privateLinkServices","Microsoft.Network","locations/privateLinkServices"
"Microsoft.Network/ddosProtectionPlans","Microsoft.Network","ddosProtectionPlans"
"Microsoft.Network/networkProfiles","Microsoft.Network","networkProfiles"
"Microsoft.Network/locations/bareMetalTenants","Microsoft.Network","locations/bareMetalTenants"
"Microsoft.Network/ipAllocations","Microsoft.Network","ipAllocations"
"Microsoft.Network/locations/serviceTagDetails","Microsoft.Network","locations/serviceTagDetails"
"Microsoft.Network/locations/dataTasks","Microsoft.Network","locations/dataTasks"
"Microsoft.Network/locations/startPacketTagging","Microsoft.Network","locations/startPacketTagging"
"Microsoft.Network/locations/deletePacketTagging","Microsoft.Network","locations/deletePacketTagging"
"Microsoft.Network/locations/getPacketTagging","Microsoft.Network","locations/getPacketTagging"
"Microsoft.Network/locations/rnmEffectiveRouteTable","Microsoft.Network","locations/rnmEffectiveRouteTable"
"Microsoft.Network/locations/rnmEffectiveNetworkSecurityGroups","Microsoft.Network","locations/rnmEffectiveNetworkSecurityGroups"
"Microsoft.Security/operations","Microsoft.Security","operations"
"Microsoft.Security/securityStatuses","Microsoft.Security","securityStatuses"
"Microsoft.Security/tasks","Microsoft.Security","tasks"
"Microsoft.Security/secureScores","Microsoft.Security","secureScores"
"Microsoft.Security/secureScores/secureScoreControls","Microsoft.Security","secureScores/secureScoreControls"
"Microsoft.Security/secureScoreControls","Microsoft.Security","secureScoreControls"
"Microsoft.Security/secureScoreControlDefinitions","Microsoft.Security","secureScoreControlDefinitions"
"Microsoft.Security/connectors","Microsoft.Security","connectors"
"Microsoft.Security/regulatoryComplianceStandards","Microsoft.Security","regulatoryComplianceStandards"
"Microsoft.Security/regulatoryComplianceStandards/regulatoryComplianceControls","Microsoft.Security","regulatoryComplianceStandards/regulatoryComplianceControls"
"Microsoft.Security/regulatoryComplianceStandards/regulatoryComplianceControls/regulatoryComplianceAssessments","Microsoft.Security","regulatoryComplianceStandards/regulatoryComplianceControls/regulatoryComplianceAssessments"
"Microsoft.Security/alerts","Microsoft.Security","alerts"
"Microsoft.Security/alertsSuppressionRules","Microsoft.Security","alertsSuppressionRules"
"Microsoft.Security/autoDismissAlertsRules","Microsoft.Security","autoDismissAlertsRules"
"Microsoft.Security/dataCollectionAgents","Microsoft.Security","dataCollectionAgents"
"Microsoft.Security/pricings","Microsoft.Security","pricings"
"Microsoft.Security/pricings/securityOperators","Microsoft.Security","pricings/securityOperators"
"Microsoft.Security/AutoProvisioningSettings","Microsoft.Security","AutoProvisioningSettings"
"Microsoft.Security/MdeOnboardings","Microsoft.Security","MdeOnboardings"
"Microsoft.Security/vmScanners","Microsoft.Security","vmScanners"
"Microsoft.Security/Compliances","Microsoft.Security","Compliances"
"Microsoft.Security/securityContacts","Microsoft.Security","securityContacts"
"Microsoft.Security/workspaceSettings","Microsoft.Security","workspaceSettings"
"Microsoft.Security/complianceResults","Microsoft.Security","complianceResults"
"Microsoft.Security/policies","Microsoft.Security","policies"
"Microsoft.Security/assessments","Microsoft.Security","assessments"
"Microsoft.Security/governanceRules","Microsoft.Security","governanceRules"
"Microsoft.Security/assessments/governanceAssignments","Microsoft.Security","assessments/governanceAssignments"
"Microsoft.Security/assessmentMetadata","Microsoft.Security","assessmentMetadata"
"Microsoft.Security/subAssessments","Microsoft.Security","subAssessments"
"Microsoft.Security/securitySolutions","Microsoft.Security","securitySolutions"
"Microsoft.Security/locations/securitySolutions","Microsoft.Security","locations/securitySolutions"
"Microsoft.Security/discoveredSecuritySolutions","Microsoft.Security","discoveredSecuritySolutions"
"Microsoft.Security/locations/discoveredSecuritySolutions","Microsoft.Security","locations/discoveredSecuritySolutions"
"Microsoft.Security/allowedConnections","Microsoft.Security","allowedConnections"
"Microsoft.Security/locations/allowedConnections","Microsoft.Security","locations/allowedConnections"
"Microsoft.Security/topologies","Microsoft.Security","topologies"
"Microsoft.Security/locations/topologies","Microsoft.Security","locations/topologies"
"Microsoft.Security/securitySolutionsReferenceData","Microsoft.Security","securitySolutionsReferenceData"
"Microsoft.Security/locations/securitySolutionsReferenceData","Microsoft.Security","locations/securitySolutionsReferenceData"
"Microsoft.Security/jitPolicies","Microsoft.Security","jitPolicies"
"Microsoft.Security/jitNetworkAccessPolicies","Microsoft.Security","jitNetworkAccessPolicies"
"Microsoft.Security/locations/jitNetworkAccessPolicies","Microsoft.Security","locations/jitNetworkAccessPolicies"
"Microsoft.Security/locations","Microsoft.Security","locations"
"Microsoft.Security/securityStatusesSummaries","Microsoft.Security","securityStatusesSummaries"
"Microsoft.Security/applicationWhitelistings","Microsoft.Security","applicationWhitelistings"
"Microsoft.Security/locations/applicationWhitelistings","Microsoft.Security","locations/applicationWhitelistings"
"Microsoft.Security/locations/alerts","Microsoft.Security","locations/alerts"
"Microsoft.Security/locations/tasks","Microsoft.Security","locations/tasks"
"Microsoft.Security/externalSecuritySolutions","Microsoft.Security","externalSecuritySolutions"
"Microsoft.Security/locations/externalSecuritySolutions","Microsoft.Security","locations/externalSecuritySolutions"
"Microsoft.Security/InformationProtectionPolicies","Microsoft.Security","InformationProtectionPolicies"
"Microsoft.Security/advancedThreatProtectionSettings","Microsoft.Security","advancedThreatProtectionSettings"
"Microsoft.Security/sqlVulnerabilityAssessments","Microsoft.Security","sqlVulnerabilityAssessments"
"Microsoft.Security/deviceSecurityGroups","Microsoft.Security","deviceSecurityGroups"
"Microsoft.Security/iotSecuritySolutions","Microsoft.Security","iotSecuritySolutions"
"Microsoft.Security/iotSecuritySolutions/analyticsModels","Microsoft.Security","iotSecuritySolutions/analyticsModels"
"Microsoft.Security/iotSecuritySolutions/iotAlertTypes","Microsoft.Security","iotSecuritySolutions/iotAlertTypes"
"Microsoft.Security/iotSecuritySolutions/iotAlerts","Microsoft.Security","iotSecuritySolutions/iotAlerts"
"Microsoft.Security/iotSecuritySolutions/iotRecommendationTypes","Microsoft.Security","iotSecuritySolutions/iotRecommendationTypes"
"Microsoft.Security/iotSecuritySolutions/iotRecommendations","Microsoft.Security","iotSecuritySolutions/iotRecommendations"
"Microsoft.Security/iotSecuritySolutions/analyticsModels/aggregatedAlerts","Microsoft.Security","iotSecuritySolutions/analyticsModels/aggregatedAlerts"
"Microsoft.Security/iotSecuritySolutions/analyticsModels/aggregatedRecommendations","Microsoft.Security","iotSecuritySolutions/analyticsModels/aggregatedRecommendations"
"Microsoft.Security/settings","Microsoft.Security","settings"
"Microsoft.Security/serverVulnerabilityAssessments","Microsoft.Security","serverVulnerabilityAssessments"
"Microsoft.Security/serverVulnerabilityAssessmentsSettings","Microsoft.Security","serverVulnerabilityAssessmentsSettings"
"Microsoft.Security/adaptiveNetworkHardenings","Microsoft.Security","adaptiveNetworkHardenings"
"Microsoft.Security/automations","Microsoft.Security","automations"
"Microsoft.Security/defenderForStorageSettings","Microsoft.Security","defenderForStorageSettings"
"Microsoft.Security/dataScanners","Microsoft.Security","dataScanners"
"Microsoft.Security/securityConnectors","Microsoft.Security","securityConnectors"
"Microsoft.Security/securityConnectors/devops","Microsoft.Security","securityConnectors/devops"
"Microsoft.Security/customRecommendations","Microsoft.Security","customRecommendations"
"Microsoft.Security/customAssessmentAutomations","Microsoft.Security","customAssessmentAutomations"
"Microsoft.Security/securityStandards","Microsoft.Security","securityStandards"
"Microsoft.Security/standards","Microsoft.Security","standards"
"Microsoft.Security/standardAssignments","Microsoft.Security","standardAssignments"
"Microsoft.Security/assignments","Microsoft.Security","assignments"
"Microsoft.Security/sensitivitySettings","Microsoft.Security","sensitivitySettings"
"Microsoft.Security/query","Microsoft.Security","query"
"Microsoft.Security/applications","Microsoft.Security","applications"
"Microsoft.Security/apiCollections","Microsoft.Security","apiCollections"
"Microsoft.Security/healthReports","Microsoft.Security","healthReports"
"Microsoft.Security/aggregations","Microsoft.Security","aggregations"
"Microsoft.Security/integrations","Microsoft.Security","integrations"
"Microsoft.OperationsManagement/solutions","Microsoft.OperationsManagement","solutions"
"Microsoft.OperationsManagement/managementassociations","Microsoft.OperationsManagement","managementassociations"
"Microsoft.OperationsManagement/views","Microsoft.OperationsManagement","views"
"Microsoft.OperationsManagement/operations","Microsoft.OperationsManagement","operations"
"Microsoft.PolicyInsights/policyEvents","Microsoft.PolicyInsights","policyEvents"
"Microsoft.PolicyInsights/policyStates","Microsoft.PolicyInsights","policyStates"
"Microsoft.PolicyInsights/operations","Microsoft.PolicyInsights","operations"
"Microsoft.PolicyInsights/asyncOperationResults","Microsoft.PolicyInsights","asyncOperationResults"
"Microsoft.PolicyInsights/remediations","Microsoft.PolicyInsights","remediations"
"Microsoft.PolicyInsights/eventGridFilters","Microsoft.PolicyInsights","eventGridFilters"
"Microsoft.PolicyInsights/checkPolicyRestrictions","Microsoft.PolicyInsights","checkPolicyRestrictions"
"Microsoft.PolicyInsights/policyTrackedResources","Microsoft.PolicyInsights","policyTrackedResources"
"Microsoft.PolicyInsights/policyMetadata","Microsoft.PolicyInsights","policyMetadata"
"Microsoft.Authorization/roleAssignments","Microsoft.Authorization","roleAssignments"
"Microsoft.Authorization/roleDefinitions","Microsoft.Authorization","roleDefinitions"
"Microsoft.Authorization/classicAdministrators","Microsoft.Authorization","classicAdministrators"
"Microsoft.Authorization/permissions","Microsoft.Authorization","permissions"
"Microsoft.Authorization/denyAssignments","Microsoft.Authorization","denyAssignments"
"Microsoft.Authorization/locks","Microsoft.Authorization","locks"
"Microsoft.Authorization/operations","Microsoft.Authorization","operations"
"Microsoft.Authorization/policyDefinitions","Microsoft.Authorization","policyDefinitions"
"Microsoft.Authorization/policySetDefinitions","Microsoft.Authorization","policySetDefinitions"
"Microsoft.Authorization/policyAssignments","Microsoft.Authorization","policyAssignments"
"Microsoft.Authorization/policyExemptions","Microsoft.Authorization","policyExemptions"
"Microsoft.Authorization/dataAliases","Microsoft.Authorization","dataAliases"
"Microsoft.Authorization/providerOperations","Microsoft.Authorization","providerOperations"
"Microsoft.Authorization/elevateAccess","Microsoft.Authorization","elevateAccess"
"Microsoft.Authorization/checkAccess","Microsoft.Authorization","checkAccess"
"Microsoft.Authorization/findOrphanRoleAssignments","Microsoft.Authorization","findOrphanRoleAssignments"
"Microsoft.Authorization/roleAssignmentsUsageMetrics","Microsoft.Authorization","roleAssignmentsUsageMetrics"
"Microsoft.Authorization/privateLinkAssociations","Microsoft.Authorization","privateLinkAssociations"
"Microsoft.Authorization/resourceManagementPrivateLinks","Microsoft.Authorization","resourceManagementPrivateLinks"
"Microsoft.Authorization/operationStatus","Microsoft.Authorization","operationStatus"
"Microsoft.AlertsManagement/alerts","Microsoft.AlertsManagement","alerts"
"Microsoft.AlertsManagement/alertsSummary","Microsoft.AlertsManagement","alertsSummary"
"Microsoft.AlertsManagement/smartGroups","Microsoft.AlertsManagement","smartGroups"
"Microsoft.AlertsManagement/smartDetectorAlertRules","Microsoft.AlertsManagement","smartDetectorAlertRules"
"Microsoft.AlertsManagement/migrateFromSmartDetection","Microsoft.AlertsManagement","migrateFromSmartDetection"
"Microsoft.AlertsManagement/actionRules","Microsoft.AlertsManagement","actionRules"
"Microsoft.AlertsManagement/alertsMetaData","Microsoft.AlertsManagement","alertsMetaData"
"Microsoft.AlertsManagement/prometheusRuleGroups","Microsoft.AlertsManagement","prometheusRuleGroups"
"Microsoft.AlertsManagement/operations","Microsoft.AlertsManagement","operations"
"Microsoft.AlertsManagement/alertRuleRecommendations","Microsoft.AlertsManagement","alertRuleRecommendations"
"Microsoft.AlertsManagement/tenantActivityLogAlerts","Microsoft.AlertsManagement","tenantActivityLogAlerts"
"Microsoft.AlertsManagement/investigations","Microsoft.AlertsManagement","investigations"
"Microsoft.ManagedIdentity/Identities","Microsoft.ManagedIdentity","Identities"
"Microsoft.ManagedIdentity/userAssignedIdentities","Microsoft.ManagedIdentity","userAssignedIdentities"
"Microsoft.ManagedIdentity/operations","Microsoft.ManagedIdentity","operations"
"Microsoft.ManagedIdentity/userAssignedIdentities/federatedIdentityCredentials","Microsoft.ManagedIdentity","userAssignedIdentities/federatedIdentityCredentials"
"Microsoft.DBforPostgreSQL/operations","Microsoft.DBforPostgreSQL","operations"
"Microsoft.DBforPostgreSQL/servers","Microsoft.DBforPostgreSQL","servers"
"Microsoft.DBforPostgreSQL/serverGroupsv2","Microsoft.DBforPostgreSQL","serverGroupsv2"
"Microsoft.DBforPostgreSQL/flexibleServers","Microsoft.DBforPostgreSQL","flexibleServers"
"Microsoft.DBforPostgreSQL/locations/capabilities","Microsoft.DBforPostgreSQL","locations/capabilities"
"Microsoft.DBforPostgreSQL/locations/checkNameAvailability","Microsoft.DBforPostgreSQL","locations/checkNameAvailability"
"Microsoft.DBforPostgreSQL/servers/recoverableServers","Microsoft.DBforPostgreSQL","servers/recoverableServers"
"Microsoft.DBforPostgreSQL/servers/virtualNetworkRules","Microsoft.DBforPostgreSQL","servers/virtualNetworkRules"
"Microsoft.DBforPostgreSQL/checkNameAvailability","Microsoft.DBforPostgreSQL","checkNameAvailability"
"Microsoft.DBforPostgreSQL/availableEngineVersions","Microsoft.DBforPostgreSQL","availableEngineVersions"
"Microsoft.DBforPostgreSQL/getPrivateDnsZoneSuffix","Microsoft.DBforPostgreSQL","getPrivateDnsZoneSuffix"
"Microsoft.DBforPostgreSQL/locations","Microsoft.DBforPostgreSQL","locations"
"Microsoft.DBforPostgreSQL/locations/operationResults","Microsoft.DBforPostgreSQL","locations/operationResults"
"Microsoft.DBforPostgreSQL/locations/azureAsyncOperation","Microsoft.DBforPostgreSQL","locations/azureAsyncOperation"
"Microsoft.DBforPostgreSQL/locations/administratorOperationResults","Microsoft.DBforPostgreSQL","locations/administratorOperationResults"
"Microsoft.DBforPostgreSQL/locations/administratorAzureAsyncOperation","Microsoft.DBforPostgreSQL","locations/administratorAzureAsyncOperation"
"Microsoft.DBforPostgreSQL/locations/checkVirtualNetworkSubnetUsage","Microsoft.DBforPostgreSQL","locations/checkVirtualNetworkSubnetUsage"
"Microsoft.DBforPostgreSQL/locations/privateEndpointConnectionProxyOperationResults","Microsoft.DBforPostgreSQL","locations/privateEndpointConnectionProxyOperationResults"
"Microsoft.DBforPostgreSQL/locations/privateEndpointConnectionProxyAzureAsyncOperation","Microsoft.DBforPostgreSQL","locations/privateEndpointConnectionProxyAzureAsyncOperation"
"Microsoft.DBforPostgreSQL/locations/privateEndpointConnectionOperationResults","Microsoft.DBforPostgreSQL","locations/privateEndpointConnectionOperationResults"
"Microsoft.DBforPostgreSQL/locations/privateEndpointConnectionAzureAsyncOperation","Microsoft.DBforPostgreSQL","locations/privateEndpointConnectionAzureAsyncOperation"
